review,true_label
The food was delicious and the staff were very friendly.,positive
"Amazing restaurant, I loved the food and the service.",positive
"The meal was fresh, tasty, and beautifully presented.",positive
Excellent service and a very comfortable atmosphere.,positive
I had a wonderful dinner and would definitely come again.,positive
The staff were helpful and the food arrived quickly.,positive
Everything tasted great and the restaurant was very clean.,positive
The desserts were fantastic and the coffee was excellent.,positive
The waiter was polite and made our experience enjoyable.,positive
Great value for money and the portions were generous.,positive
The restaurant was cozy and the food was full of flavor.,positive
I really enjoyed the meal and the service was professional.,positive
"The food was hot, fresh, and exactly what I expected.",positive
A lovely place with friendly staff and excellent dishes.,positive
The service was fast and the food quality was impressive.,positive
One of the best restaurant experiences I have had.,positive
The atmosphere was relaxing and the meal was delicious.,positive
Everything was perfect from the service to the food.,positive
The staff welcomed us warmly and the food was amazing.,positive
I would recommend this restaurant to my friends.,positive
The food was okay and the service was average.,neutral
"The restaurant was fine, but nothing was special.",neutral
The meal was acceptable and the waiting time was normal.,neutral
The food tasted average and the staff were polite.,neutral
It was an ordinary restaurant experience.,neutral
The service was fine and the food was decent.,neutral
"The restaurant was clean, but the menu was limited.",neutral
The food was neither good nor bad.,neutral
The meal was okay for the price.,neutral
The atmosphere was quiet and the food was average.,neutral
The staff did their job and the meal was acceptable.,neutral
The restaurant was normal and the service was standard.,neutral
"The food was fine, although I expected more variety.",neutral
"Nothing went wrong, but nothing really impressed me.",neutral
The experience was acceptable overall.,neutral
The food arrived on time and tasted ordinary.,neutral
"The location was convenient, and everything else was average.",neutral
The portion size was normal and the meal was okay.,neutral
The service was reasonable but not memorable.,neutral
It was a basic dining experience with average food.,neutral
The food was cold and the service was very slow.,negative
I had a terrible experience and would not come back.,negative
The meal tasted bad and the staff were rude.,negative
We waited too long and the food was disappointing.,negative
The restaurant was dirty and the tables were not clean.,negative
The food was overpriced and the quality was poor.,negative
The waiter ignored us for a long time.,negative
My order was wrong and nobody helped me fix it.,negative
The food arrived late and was not fresh.,negative
The atmosphere was noisy and uncomfortable.,negative
The portions were small and the prices were too high.,negative
I was disappointed by both the food and the service.,negative
The restaurant was crowded and the staff were unorganized.,negative
The meal was bland and not worth the money.,negative
The service was extremely slow and frustrating.,negative
The table was dirty when we arrived.,negative
The food did not taste good and I could not finish it.,negative
The staff were unfriendly and the experience was unpleasant.,negative
The restaurant did not meet my expectations at all.,negative
I would not recommend this place because the service was poor.,negative
